date,country,state,region,newCases,totalCases
16/03/2020,Brazil,AM,North,0,1
17/03/2020,Brazil,AM,North,1,2
18/03/2020,Brazil,AM,North,0,2
19/03/2020,Brazil,AM,North,1,3
20/03/2020,Brazil,AM,North,4,7
21/03/2020,Brazil,AM,North,4,11
22/03/2020,Brazil,AM,North,15,26
23/03/2020,Brazil,AM,North,6,32
24/03/2020,Brazil,AM,North,15,47
25/03/2020,Brazil,AM,North,7,54
26/03/2020,Brazil,AM,North,13,67
20/03/2020,Brazil,AP,North,1,1
21/03/2020,Brazil,AP,North,0,1
22/03/2020,Brazil,AP,North,0,1
23/03/2020,Brazil,AP,North,0,1
24/03/2020,Brazil,AP,North,0,1
25/03/2020,Brazil,AP,North,1,2
26/03/2020,Brazil,AP,North,0,2
18/03/2020,Brazil,PA,North,1,1
19/03/2020,Brazil,PA,North,0,1
20/03/2020,Brazil,PA,North,1,2
21/03/2020,Brazil,PA,North,0,2
22/03/2020,Brazil,PA,North,2,4
23/03/2020,Brazil,PA,North,1,5
24/03/2020,Brazil,PA,North,0,5
25/03/2020,Brazil,PA,North,4,9
26/03/2020,Brazil,PA,North,4,13
19/03/2020,Brazil,RO,North,1,1
20/03/2020,Brazil,RO,North,0,1
21/03/2020,Brazil,RO,North,2,3
22/03/2020,Brazil,RO,North,0,3
23/03/2020,Brazil,RO,North,0,3
24/03/2020,Brazil,RO,North,2,5
25/03/2020,Brazil,RO,North,0,5
26/03/2020,Brazil,RO,North,1,6
21/03/2020,Brazil,RR,North,2,2
22/03/2020,Brazil,RR,North,0,2
23/03/2020,Brazil,RR,North,0,2
24/03/2020,Brazil,RR,North,6,8
25/03/2020,Brazil,RR,North,0,8
26/03/2020,Brazil,RR,North,0,8
18/03/2020,Brazil,TO,North,1,1
19/03/2020,Brazil,TO,North,0,1
20/03/2020,Brazil,TO,North,0,1
21/03/2020,Brazil,TO,North,1,2
22/03/2020,Brazil,TO,North,3,5
23/03/2020,Brazil,TO,North,2,7
24/03/2020,Brazil,TO,North,0,7
25/03/2020,Brazil,TO,North,0,7
26/03/2020,Brazil,TO,North,1,8
08/03/2020,Brazil,AL,Northeast,1,1
09/03/2020,Brazil,AL,Northeast,0,1
10/03/2020,Brazil,AL,Northeast,0,1
11/03/2020,Brazil,AL,Northeast,0,1
12/03/2020,Brazil,AL,Northeast,0,1
13/03/2020,Brazil,AL,Northeast,0,1
14/03/2020,Brazil,AL,Northeast,0,1
15/03/2020,Brazil,AL,Northeast,0,1
16/03/2020,Brazil,AL,Northeast,0,1
17/03/2020,Brazil,AL,Northeast,0,1
18/03/2020,Brazil,AL,Northeast,0,1
19/03/2020,Brazil,AL,Northeast,3,4
20/03/2020,Brazil,AL,Northeast,2,6
21/03/2020,Brazil,AL,Northeast,1,7
22/03/2020,Brazil,AL,Northeast,0,7
23/03/2020,Brazil,AL,Northeast,1,8
24/03/2020,Brazil,AL,Northeast,2,10
25/03/2020,Brazil,AL,Northeast,1,11
26/03/2020,Brazil,AL,Northeast,0,11
06/03/2020,Brazil,BA,Northeast,1,1
07/03/2020,Brazil,BA,Northeast,1,2
08/03/2020,Brazil,BA,Northeast,0,2
09/03/2020,Brazil,BA,Northeast,0,2
10/03/2020,Brazil,BA,Northeast,0,2
11/03/2020,Brazil,BA,Northeast,1,3
12/03/2020,Brazil,BA,Northeast,0,3
13/03/2020,Brazil,BA,Northeast,4,7
14/03/2020,Brazil,BA,Northeast,0,7
15/03/2020,Brazil,BA,Northeast,2,9
16/03/2020,Brazil,BA,Northeast,1,10
17/03/2020,Brazil,BA,Northeast,6,16
18/03/2020,Brazil,BA,Northeast,11,27
19/03/2020,Brazil,BA,Northeast,4,31
20/03/2020,Brazil,BA,Northeast,3,34
21/03/2020,Brazil,BA,Northeast,7,41
22/03/2020,Brazil,BA,Northeast,14,55
23/03/2020,Brazil,BA,Northeast,8,63
24/03/2020,Brazil,BA,Northeast,16,79
25/03/2020,Brazil,BA,Northeast,12,91
26/03/2020,Brazil,BA,Northeast,17,108
15/03/2020,Brazil,CE,Northeast,3,3
16/03/2020,Brazil,CE,Northeast,6,9
17/03/2020,Brazil,CE,Northeast,2,11
18/03/2020,Brazil,CE,Northeast,9,20
19/03/2020,Brazil,CE,Northeast,5,25
20/03/2020,Brazil,CE,Northeast,43,68
21/03/2020,Brazil,CE,Northeast,16,84
22/03/2020,Brazil,CE,Northeast,41,125
23/03/2020,Brazil,CE,Northeast,39,164
24/03/2020,Brazil,CE,Northeast,21,185
25/03/2020,Brazil,CE,Northeast,26,211
26/03/2020,Brazil,CE,Northeast,27,238
20/03/2020,Brazil,MA,Northeast,1,1
21/03/2020,Brazil,MA,Northeast,1,2
22/03/2020,Brazil,MA,Northeast,0,2
23/03/2020,Brazil,MA,Northeast,6,8
24/03/2020,Brazil,MA,Northeast,0,8
25/03/2020,Brazil,MA,Northeast,0,8
26/03/2020,Brazil,MA,Northeast,2,10
18/03/2020,Brazil,PB,Northeast,1,1
19/03/2020,Brazil,PB,Northeast,0,1
20/03/2020,Brazil,PB,Northeast,0,1
21/03/2020,Brazil,PB,Northeast,0,1
22/03/2020,Brazil,PB,Northeast,0,1
23/03/2020,Brazil,PB,Northeast,1,2
24/03/2020,Brazil,PB,Northeast,1,3
25/03/2020,Brazil,PB,Northeast,2,5
26/03/2020,Brazil,PB,Northeast,1,6
12/03/2020,Brazil,PE,Northeast,2,2
13/03/2020,Brazil,PE,Northeast,0,2
14/03/2020,Brazil,PE,Northeast,5,7
15/03/2020,Brazil,PE,Northeast,1,8
16/03/2020,Brazil,PE,Northeast,10,18
17/03/2020,Brazil,PE,Northeast,1,19
18/03/2020,Brazil,PE,Northeast,3,22
19/03/2020,Brazil,PE,Northeast,6,28
20/03/2020,Brazil,PE,Northeast,3,31
21/03/2020,Brazil,PE,Northeast,2,33
22/03/2020,Brazil,PE,Northeast,4,37
23/03/2020,Brazil,PE,Northeast,5,42
24/03/2020,Brazil,PE,Northeast,0,42
25/03/2020,Brazil,PE,Northeast,4,46
26/03/2020,Brazil,PE,Northeast,2,48
19/03/2020,Brazil,PI,Northeast,3,3
20/03/2020,Brazil,PI,Northeast,1,4
21/03/2020,Brazil,PI,Northeast,0,4
22/03/2020,Brazil,PI,Northeast,2,6
23/03/2020,Brazil,PI,Northeast,0,6
24/03/2020,Brazil,PI,Northeast,2,8
25/03/2020,Brazil,PI,Northeast,0,8
26/03/2020,Brazil,PI,Northeast,1,9
12/03/2020,Brazil,RN,Northeast,1,1
13/03/2020,Brazil,RN,Northeast,0,1
14/03/2020,Brazil,RN,Northeast,0,1
15/03/2020,Brazil,RN,Northeast,0,1
16/03/2020,Brazil,RN,Northeast,0,1
17/03/2020,Brazil,RN,Northeast,0,1
18/03/2020,Brazil,RN,Northeast,0,1
19/03/2020,Brazil,RN,Northeast,0,1
20/03/2020,Brazil,RN,Northeast,5,6
21/03/2020,Brazil,RN,Northeast,3,9
22/03/2020,Brazil,RN,Northeast,4,13
23/03/2020,Brazil,RN,Northeast,0,13
24/03/2020,Brazil,RN,Northeast,1,14
25/03/2020,Brazil,RN,Northeast,0,14
26/03/2020,Brazil,RN,Northeast,5,19
14/03/2020,Brazil,SE,Northeast,1,1
15/03/2020,Brazil,SE,Northeast,0,1
16/03/2020,Brazil,SE,Northeast,4,5
17/03/2020,Brazil,SE,Northeast,0,5
18/03/2020,Brazil,SE,Northeast,1,6
19/03/2020,Brazil,SE,Northeast,0,6
20/03/2020,Brazil,SE,Northeast,1,7
21/03/2020,Brazil,SE,Northeast,3,10
22/03/2020,Brazil,SE,Northeast,0,10
23/03/2020,Brazil,SE,Northeast,0,10
24/03/2020,Brazil,SE,Northeast,5,15
25/03/2020,Brazil,SE,Northeast,1,16
26/03/2020,Brazil,SE,Northeast,0,16
12/03/2020,Brazil,PR,South,6,6
13/03/2020,Brazil,PR,South,0,6
14/03/2020,Brazil,PR,South,0,6
15/03/2020,Brazil,PR,South,0,6
16/03/2020,Brazil,PR,South,2,8
17/03/2020,Brazil,PR,South,4,12
18/03/2020,Brazil,PR,South,2,14
19/03/2020,Brazil,PR,South,9,23
20/03/2020,Brazil,PR,South,13,36
21/03/2020,Brazil,PR,South,7,43
22/03/2020,Brazil,PR,South,11,54
23/03/2020,Brazil,PR,South,6,60
24/03/2020,Brazil,PR,South,9,69
25/03/2020,Brazil,PR,South,28,97
26/03/2020,Brazil,PR,South,9,106
10/03/2020,Brazil,RS,South,1,1
11/03/2020,Brazil,RS,South,1,2
12/03/2020,Brazil,RS,South,2,4
13/03/2020,Brazil,RS,South,2,6
14/03/2020,Brazil,RS,South,1,7
15/03/2020,Brazil,RS,South,0,7
16/03/2020,Brazil,RS,South,4,11
17/03/2020,Brazil,RS,South,8,19
18/03/2020,Brazil,RS,South,9,28
19/03/2020,Brazil,RS,South,9,37
20/03/2020,Brazil,RS,South,23,60
21/03/2020,Brazil,RS,South,12,72
22/03/2020,Brazil,RS,South,13,85
23/03/2020,Brazil,RS,South,11,96
24/03/2020,Brazil,RS,South,17,113
25/03/2020,Brazil,RS,South,49,162
26/03/2020,Brazil,RS,South,28,190
12/03/2020,Brazil,SC,South,2,2
13/03/2020,Brazil,SC,South,1,3
14/03/2020,Brazil,SC,South,2,5
15/03/2020,Brazil,SC,South,1,6
16/03/2020,Brazil,SC,South,1,7
17/03/2020,Brazil,SC,South,0,7
18/03/2020,Brazil,SC,South,8,15
19/03/2020,Brazil,SC,South,7,22
20/03/2020,Brazil,SC,South,19,41
21/03/2020,Brazil,SC,South,17,58
22/03/2020,Brazil,SC,South,11,69
23/03/2020,Brazil,SC,South,18,87
24/03/2020,Brazil,SC,South,23,110
25/03/2020,Brazil,SC,South,12,122
26/03/2020,Brazil,SC,South,27,149
05/03/2020,Brazil,ES,Southeast,1,1
06/03/2020,Brazil,ES,Southeast,0,1
07/03/2020,Brazil,ES,Southeast,0,1
08/03/2020,Brazil,ES,Southeast,0,1
09/03/2020,Brazil,ES,Southeast,0,1
10/03/2020,Brazil,ES,Southeast,0,1
11/03/2020,Brazil,ES,Southeast,0,1
12/03/2020,Brazil,ES,Southeast,1,2
13/03/2020,Brazil,ES,Southeast,0,2
14/03/2020,Brazil,ES,Southeast,2,4
15/03/2020,Brazil,ES,Southeast,0,4
16/03/2020,Brazil,ES,Southeast,4,8
17/03/2020,Brazil,ES,Southeast,0,8
18/03/2020,Brazil,ES,Southeast,3,11
19/03/2020,Brazil,ES,Southeast,2,13
20/03/2020,Brazil,ES,Southeast,3,16
21/03/2020,Brazil,ES,Southeast,10,26
22/03/2020,Brazil,ES,Southeast,0,26
23/03/2020,Brazil,ES,Southeast,7,33
24/03/2020,Brazil,ES,Southeast,7,40
25/03/2020,Brazil,ES,Southeast,0,40
26/03/2020,Brazil,ES,Southeast,8,48
08/03/2020,Brazil,MG,Southeast,1,1
09/03/2020,Brazil,MG,Southeast,0,1
10/03/2020,Brazil,MG,Southeast,0,1
11/03/2020,Brazil,MG,Southeast,0,1
12/03/2020,Brazil,MG,Southeast,1,2
13/03/2020,Brazil,MG,Southeast,0,2
14/03/2020,Brazil,MG,Southeast,2,4
15/03/2020,Brazil,MG,Southeast,0,4
16/03/2020,Brazil,MG,Southeast,3,7
17/03/2020,Brazil,MG,Southeast,7,14
18/03/2020,Brazil,MG,Southeast,6,20
19/03/2020,Brazil,MG,Southeast,9,29
20/03/2020,Brazil,MG,Southeast,9,38
21/03/2020,Brazil,MG,Southeast,17,55
22/03/2020,Brazil,MG,Southeast,28,83
23/03/2020,Brazil,MG,Southeast,45,128
24/03/2020,Brazil,MG,Southeast,2,130
25/03/2020,Brazil,MG,Southeast,3,133
26/03/2020,Brazil,MG,Southeast,20,153
05/03/2020,Brazil,RJ,Southeast,1,1
06/03/2020,Brazil,RJ,Southeast,0,1
07/03/2020,Brazil,RJ,Southeast,1,2
08/03/2020,Brazil,RJ,Southeast,1,3
09/03/2020,Brazil,RJ,Southeast,5,8
10/03/2020,Brazil,RJ,Southeast,0,8
11/03/2020,Brazil,RJ,Southeast,6,14
12/03/2020,Brazil,RJ,Southeast,2,16
13/03/2020,Brazil,RJ,Southeast,3,19
14/03/2020,Brazil,RJ,Southeast,5,24
15/03/2020,Brazil,RJ,Southeast,0,24
16/03/2020,Brazil,RJ,Southeast,7,31
17/03/2020,Brazil,RJ,Southeast,8,39
18/03/2020,Brazil,RJ,Southeast,24,63
19/03/2020,Brazil,RJ,Southeast,3,66
20/03/2020,Brazil,RJ,Southeast,43,109
21/03/2020,Brazil,RJ,Southeast,10,119
22/03/2020,Brazil,RJ,Southeast,67,186
23/03/2020,Brazil,RJ,Southeast,45,231
24/03/2020,Brazil,RJ,Southeast,72,303
25/03/2020,Brazil,RJ,Southeast,67,370
26/03/2020,Brazil,RJ,Southeast,51,421
25/02/2020,Brazil,SP,Southeast,1,1
29/02/2020,Brazil,SP,Southeast,1,2
04/03/2020,Brazil,SP,Southeast,1,3
05/03/2020,Brazil,SP,Southeast,3,6
06/03/2020,Brazil,SP,Southeast,4,10
07/03/2020,Brazil,SP,Southeast,3,13
08/03/2020,Brazil,SP,Southeast,3,16
09/03/2020,Brazil,SP,Southeast,0,16
10/03/2020,Brazil,SP,Southeast,3,19
11/03/2020,Brazil,SP,Southeast,26,45
12/03/2020,Brazil,SP,Southeast,19,64
13/03/2020,Brazil,SP,Southeast,0,64
14/03/2020,Brazil,SP,Southeast,1,65
15/03/2020,Brazil,SP,Southeast,71,136
16/03/2020,Brazil,SP,Southeast,16,152
17/03/2020,Brazil,SP,Southeast,12,164
18/03/2020,Brazil,SP,Southeast,80,244
19/03/2020,Brazil,SP,Southeast,43,287
20/03/2020,Brazil,SP,Southeast,109,396
21/03/2020,Brazil,SP,Southeast,63,459
22/03/2020,Brazil,SP,Southeast,172,631
23/03/2020,Brazil,SP,Southeast,114,745
24/03/2020,Brazil,SP,Southeast,65,810
25/03/2020,Brazil,SP,Southeast,52,862
26/03/2020,Brazil,SP,Southeast,190,1052
25/02/2020,Brazil,TOTAL,TOTAL,1,1
29/02/2020,Brazil,TOTAL,TOTAL,1,2
04/03/2020,Brazil,TOTAL,TOTAL,1,3
05/03/2020,Brazil,TOTAL,TOTAL,5,8
06/03/2020,Brazil,TOTAL,TOTAL,5,13
07/03/2020,Brazil,TOTAL,TOTAL,6,19
08/03/2020,Brazil,TOTAL,TOTAL,6,25
09/03/2020,Brazil,TOTAL,TOTAL,5,30
10/03/2020,Brazil,TOTAL,TOTAL,5,35
11/03/2020,Brazil,TOTAL,TOTAL,34,69
12/03/2020,Brazil,TOTAL,TOTAL,40,109
13/03/2020,Brazil,TOTAL,TOTAL,11,120
14/03/2020,Brazil,TOTAL,TOTAL,27,147
15/03/2020,Brazil,TOTAL,TOTAL,84,231
16/03/2020,Brazil,TOTAL,TOTAL,70,301
17/03/2020,Brazil,TOTAL,TOTAL,63,364
18/03/2020,Brazil,TOTAL,TOTAL,172,536
19/03/2020,Brazil,TOTAL,TOTAL,159,695
20/03/2020,Brazil,TOTAL,TOTAL,318,1013
21/03/2020,Brazil,TOTAL,TOTAL,193,1206
22/03/2020,Brazil,TOTAL,TOTAL,415,1621
23/03/2020,Brazil,TOTAL,TOTAL,340,1961
24/03/2020,Brazil,TOTAL,TOTAL,311,2272
25/03/2020,Brazil,TOTAL,TOTAL,297,2569
26/03/2020,Brazil,TOTAL,TOTAL,423,2992
